"Temps (s) Essai  #1";"Position (m) Essai  #1";"Vitesse (m/s) Essai  #1";"Accélération (m/s²) Essai  #1";"Temps (s) Essai  #2";"Position (m) Essai  #2";"Vitesse (m/s) Essai  #2";"Accélération (m/s²) Essai  #2";"Temps (s) Essai  #3";"Position (m) Essai  #3";"Vitesse (m/s) Essai  #3";"Accélération (m/s²) Essai  #3"
3,000;3,301;3,38;-4,3;3,000;1,573;2,13;1,5;3,000;2,896;2,59;-0,2
3,050;3,465;3,03;-12,7;3,050;1,681;2,21;1,5;3,050;3,021;2,57;0,1
3,100;3,669;2,00;-18,6;3,100;1,795;2,28;1,3;3,100;3,151;2,60;0,3
3,150;3,683;0,77;-16,6;3,150;1,910;2,34;1,1;3,150;3,281;2,62;-1,1
3,200;3,682;0,05;-9,2;3,200;2,028;2,39;1,0;3,200;3,414;2,63;-5,6
3,250;3,683;-6,96E-4;-2,7;3,250;2,149;2,44;1,1;3,250;3,544;2,21;-11,6
3,300;3,683;1,23E-4;-0,2;3,300;2,273;2,49;1,2;3,300;3,679;1,33;-14,6
3,350;3,682;-3,28E-4;0,0;3,350;2,396;2,56;1,3;3,350;3,679;0,45;-11,8
3,400;3,683;0,00;0,0;3,400;2,529;2,63;1,3;3,400;3,679;0,00;-5,9
3,450;3,682;0,00;0,0;3,450;2,661;2,69;1,2;3,450;3,678;9,01E-4;-1,5
3,500;3,682;8,24E-5;0,0;3,500;2,796;2,74;1,2;3,500;3,679;0,00;0,0
3,550;3,682;0,00;0,0;3,550;2,935;2,80;1,3;3,550;3,679;0,00;0,0
3,600;3,683;0,00;0,0;3,600;3,077;2,88;1,4;3,600;3,679;-7,79E-4;-0,1
3,650;3,682;0,00;0,1;3,650;3,221;2,95;-0,4;3,650;3,679;-7,82E-4;-0,1
3,700;3,683;0,01;0,1;3,700;3,375;3,01;-5,7;3,700;3,679;-0,01;-0,1
3,750;3,682;0,01;0,0;3,750;3,522;2,55;-12,7;3,750;3,679;-0,02;-0,1
3,800;3,686;0,01;-0,1;3,800;3,679;1,57;-16,4;3,800;3,676;-0,02;0,0
3,850;3,682;0,00;-0,2;3,850;3,681;0,58;-13,3;3,850;3,676;-0,02;0,0
3,900;3,686;-0,01;-0,1;3,900;3,685;0,07;-6,8;3,900;3,676;-0,02;0,0
3,950;3,683;-0,01;0,0;3,950;3,688;0,06;-2,0;3,950;3,672;-0,02;0,1
4,000;3,683;-0,01;0,1;4,000;3,692;0,04;-0,5;4,000;3,672;-0,01;0,1
4,050;3,683;0,00;0,1;4,050;3,694;0,01;-0,6;4,050;3,672;0,00;0,1
4,100;3,683;-6,96E-4;0,1;4,100;3,693;-0,03;-0,5;4,100;3,672;0,00;0,1
4,150;3,682;-4,91E-4;0,1;4,150;3,690;-0,05;-0,1;4,150;3,672;-9,41E-4;0,0
4,200;3,683;-4,07E-4;0,1;4,200;3,686;-0,04;0,2;4,200;3,672;0,00;0,0
4,250;3,683;0,01;0,2;4,250;3,686;-0,01;0,3;4,250;3,672;0,00;0,0
4,300;3,683;0,03;0,1;4,300;3,685;0,00;0,2;4,300;3,672;-3,29E-4;0,0
4,350;3,687;0,02;-0,1;4,350;3,685;0,00;0,2;4,350;3,672;0,00;0,0
4,400;3,686;0,01;-0,3;4,400;3,685;0,01;0,2;4,400;3,672;0,00;0,0
4,450;3,686;-0,01;-0,3;4,450;3,685;0,02;0,1;4,450;3,672;0,00;0,0
4,500;3,686;-0,02;-0,1;4,500;3,688;0,02;0,1;4,500;3,672;-4,90E-4;0,0
4,550;3,684;-0,02;0,0;4,550;3,688;0,02;0,1;4,550;3,672;0,00;0,0
4,600;3,683;-0,01;0,1;4,600;3,689;0,03;0,0;4,600;3,672;0,00;0,0
4,650;3,683;0,00;0,1;4,650;3,692;0,03;-0,3;4,650;3,672;0,00;0,0
4,700;3,683;-6,97E-4;0,0;4,700;3,692;0,00;-0,4;4,700;3,672;0,00;-5,6E-4
4,750;3,683;-0,01;-0,1;4,750;3,693;-0,03;-0,3;4,750;3,672;0,00;0,0
4,800;3,683;-0,02;0,0;4,800;3,689;-0,04;0,0;4,800;3,673;0,00;0,0
4,850;3,680;-0,02;0,2;4,850;3,685;-0,03;0,2;4,850;3,672;0,00;0,0
4,900;3,680;0,00;;4,900;3,688;-0,01;0,2;4,900;3,672;0,00;0,0
4,950;3,680;0,03;;4,950;3,687;-0,01;0,1;4,950;3,672;0,00;0,0
5,000;3,683;;;5,000;3,686;-0,01;0,0;5,000;3,673;0,00;-9,7E-4
;;;;5,050;3,685;-0,01;0,0;5,050;3,671;0,00;0,0
;;;;5,100;3,686;0,00;0,0;5,100;3,672;-1,29E-4;-0,1
;;;;5,150;3,685;0,00;5,5E-4;5,150;3,672;-0,01;-0,1
;;;;5,200;3,685;0,00;0,0;5,200;3,672;-0,02;0,0
;;;;5,250;3,685;0,00;-0,1;5,250;3,669;-0,01;0,1
;;;;5,300;3,684;-0,01;;5,300;3,669;4,51E-4;0,1
;;;;5,350;3,685;-0,03;;5,350;3,672;0,00;0,1
;;;;5,400;3,681;;;5,400;3,669;0,00;0,1
;;;;;;;;5,450;3,669;0,01;0,0
;;;;;;;;5,500;3,671;0,01;-0,1
;;;;;;;;5,550;3,672;0,00;-0,2
;;;;;;;;5,600;3,670;-0,02;0,0
;;;;;;;;5,650;3,669;-0,01;0,1
;;;;;;;;5,700;3,668;0,01;
;;;;;;;;5,750;3,672;0,01;
;;;;;;;;5,800;3,669;;
